,name,address,latitude,longitude,rating,user_ratings_total,weighted_ratings,business_status,types
31,St. Dwyn Animal Care Clinic,"1205 Unit 101 Arturo San Diego Apartments Cardona, Makati, Metro Manila, Philippines",14.5697414,121.0252197,4.8,38,182.4,OPERATIONAL,"['veterinary_care', 'health', 'point_of_interest', 'establishment']"
32,Wags & Tails Veterinary Clinic ( Managed by The Veterinary Hub Pte. Corp.),"U8,Creekside Square Bldg 74G/F, 74 Tomas Morato Ave, Quezon City, 1112 Metro Manila, Philippines",14.625925,121.0337234,4.6,64,294.4,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
33,PPBCC Veterinary Hospital,"Brgy, 102 Primo Cruz, Mandaluyong, 1550 Metro Manila, Philippines",14.5816853,121.0295831,3.6,39,140.4,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
34,Pink Farm 24 Hour Pet Grooming And Veterinary Clinic | C5 MRT Group Of Animal Clinics,"B24 L45 EP Village Phase 2 Cuasay St. MRT Ave, Taguig, 1632 Metro Manila, Philippines",14.5152276,121.0521835,4.0,305,1220.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
35,Bubble Berry Vet Clinic,"1777 Nicanor Garcia, Makati, Metro Manila, Philippines",14.5670784,121.0238852,4.7,47,220.9,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
36,Cubao Animal Clinic,"81 A. Luna, Lungsod Quezon, Kalakhang Maynila, Philippines",14.6255002,121.0581035,4.1,84,344.4,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
37,Bark and Meow Pet Shop and Veterinary Clinic,"J24G+WJH, triple a bldg, N. Domingo, San Juan, Metro Manila, Philippines",14.6073367,121.0265995,3.8,106,402.79999999999995,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
38,Great&Small Animal Clinic,"06A Kalayaan Ave, Taguig, 1214 Metro Manila, Philippines",14.5625854,121.0532679,3.6,62,223.20000000000002,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
39,Pet Paws Animal Clinic,"Doña Soledad Ave, Bicutan, Parañaque, 1711 Metro Manila, Philippines",14.4823333,121.0370682,4.1,118,483.79999999999995,OPERATIONAL,"['veterinary_care', 'health', 'point_of_interest', 'establishment']"
40,Royal Canin,"422 Barangka Dr., Mandaluyong, 1550 Kalakhang Maynila, Philippines",14.574245,121.039796,4.7,3,14.100000000000001,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
41,Furs Choice Veterinary Clinic Manila,"1345 F F Jhocson St, Sampaloc, Manila, 1008 Metro Manila, Philippines",14.6046211,120.993795,5.0,18,90.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
42,Fur Bloom Animal Clinic,"Unit 7, BSA Commercial Center, Shaw Blvd, Mandaluyong, 1550 Metro Manila, Philippines",14.5913675,121.032353,4.8,97,465.59999999999997,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
43,MyPetz Health and Wellness Center,"7 Sheridan, Mandaluyong, 1550 Metro Manila, Philippines",14.5737117,121.0525461,3.1,11,34.1,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
